course,course number,credit hours,section number,crn,start date,end date,type,meeting time start,meeting time end,meeting days,building location,room number,instructors
GWS,418,3 OR 4 hours.,A4 ,35720,2024-08-26Z,2024-12-11Z,Laboratory-Discussion,01:30 PM,04:30 PM,W      ,Armory,160,Fay L
GWS,424,3 hours.,B  ,41035,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,12:20 PM,TR     ,Architecture Building,102A,Anthony K
GWS,432,3 OR 4 hours.,1  ,41095,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,TR     ,Armory,145,Giorgio G
GWS,432,3 OR 4 hours.,2  ,41096,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR     ,Lincoln Hall,1066,Giorgio G
GWS,442,3 OR 4 hours.,ONG,73679,2024-08-26Z,2024-10-18Z,Online,ARRANGED,,,,,"Haugen M,Schwingel A"
GWS,442,3 OR 4 hours.,ONU,73656,2024-08-26Z,2024-10-18Z,Online,ARRANGED,,,,,"Haugen M,Schwingel A"
GWS,459,3 OR 4 hours.,CNG,55882,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,01:50 PM,W      ,Wohlers Hall,174,Nadeau C
GWS,459,3 OR 4 hours.,CNU,55854,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,01:50 PM,W      ,Wohlers Hall,174,Nadeau C
GWS,465,3 OR 4 hours.,G  ,54044,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:00 PM,05:20 PM,M      ,1207 W Oregon,103,Flores N
GWS,465,3 OR 4 hours.,U  ,54043,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:00 PM,05:20 PM,M      ,1207 W Oregon,103,Flores N
GWS,478,3 OR 4 hours.,G  ,61104,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,04:50 PM,T      ,English Building,123,Nadeau C
GWS,478,3 OR 4 hours.,UG ,61103,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,04:50 PM,T      ,English Building,123,Nadeau C
GWS,490,2 TO 4 hours.,,10361,2024-08-26Z,2024-12-11Z,Independent Study,ARRANGED,,,,,
GWS,498,3 hours.,TB ,54012,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,01:50 PM,M      ,,,Beauchamp T
GWS,550,4 hours.,1  ,30426,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,04:50 PM,R      ,1205 W Nevada,102,Ibaorimi Z
GWS,580,4 hours.,DVB,79545,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,01:50 PM,T      ,Education Building,323,Vergara Bracamontes D
GWS,590,4 hours.,GM ,69085,2024-08-26Z,2024-12-11Z,Lecture,03:30 PM,06:20 PM,M      ,Architecture Building,301,Moussawi G
HDFS,101,1 hours.,A1 ,76872,2024-08-26Z,2024-10-18Z,Lecture-Discussion,10:00 AM,11:20 AM,F      ,Christopher Hall,7,Mitchell E
